dist,walk,ride,bike,car,pt
8200,0.011663569774708381,0.06422273260813606,0.352771513618075,0.28370756877645714,0.28763461522262335
8300,0.007033019342737879,0.06314080793612274,0.26964968459044936,0.3530507562422474,0.3071257318884427
8400,0.002654948726392756,0.06222153226294729,0.18881982509528328,0.41343705411380366,0.33286663980157305
8500,0.0016473811651338177,0.046589709826595466,0.15597159738571167,0.3817177508099778,0.4140735608125812
8600,0.0016318754990361506,0.034136891476298795,0.13129392171365023,0.33555153399919907,0.4973857773118157
8700,0.0015217955876357249,0.028676181411870543,0.1065140764704687,0.30411080515783295,0.559177141372192
8800,0.0014369096829918175,0.027039565477490823,0.09243740991807425,0.2742116672057958,0.6048744477156472
8900,0.0013718355594457886,0.033799424872393104,0.08805499634737474,0.2622518514133405,0.6145218918074459
9000,0.0011473523719726644,0.061277958641155955,0.08062146501323772,0.3100984617899779,0.5468547621836558
9100,0.000831726313098721,0.09123858785632236,0.06666770207995391,0.37758437600569134,0.4636776077449337
9200,0.002500404493486168,0.11368147172577535,0.053962879762992355,0.4386427440201152,0.3912124999976308
9300,0.009981003325475605,0.12891827216269533,0.05203491044090068,0.4842284602016313,0.324837353869297
9400,0.021251719657252664,0.14022637510173855,0.06084664930399872,0.5199692602028689,0.25770599573414116
9500,0.03344088043729895,0.15069210210724618,0.07719016169382428,0.553970589514697,0.18470626624693345
9600,0.04312789350678716,0.15947719029650007,0.09000670409785637,0.5787424469218851,0.12864576517697135
9700,0.04847656135333157,0.16132940053902484,0.09527278947489423,0.5665288634173925,0.12839238521535684
9800,0.05390616992827464,0.15886851125602944,0.10141130473232736,0.5338455346058192,0.1519684794775494
9900,0.06293361078259621,0.1472703200031973,0.11597105406354222,0.48933429695758296,0.18449071819308116
10000,0.07450885612386345,0.12285118968445255,0.14102570724830052,0.42590434896460866,0.23570989797877484
10100,0.07894067465407288,0.09545003701671978,0.16329779806255307,0.37475464488615123,0.2875568453805031
10200,0.059172048375207745,0.09037194230027742,0.16238891101848452,0.40057211925329916,0.28749497905273114
10300,0.029104170781473558,0.09453929709601845,0.1538490841589192,0.4381516056526084,0.28435584231098043
10400,0.005956055735575833,0.0946059771612911,0.1512458659630816,0.45625517815296285,0.29193692298708857
10500,0.0,0.08700599390545614,0.15597867302549928,0.45422961844368215,0.30278571462536236
10600,0.0,0.07294452716007388,0.15640313819356402,0.4342919779179455,0.3363603567284166
10700,0.0,0.0560478120878348,0.1596465874747989,0.4006192148645615,0.38368638557280477
10800,0.0,0.048079375947394525,0.16807829112007505,0.35408989458036016,0.42975243835217025
10900,0.0,0.07616589990440815,0.15463388779390322,0.3495986647976881,0.4196015475040007
11000,0.0,0.11529945590508772,0.12070290592900586,0.4022547156351036,0.3617429225308028
11100,0.0030589878268304596,0.14127872131745203,0.08734309865893766,0.4767374162917166,0.29158177590506307
11200,0.013604026022185032,0.14872954425426427,0.07772792465148705,0.5090146165401159,0.2509238885319478
11300,0.025912416604103743,0.14545791557808832,0.08742197569447038,0.510014323083388,0.23119336903994953
11400,0.035025173809878934,0.137555971893662,0.10610393601245953,0.4965481768070836,0.224766741476916
11500,0.03957053429465891,0.1293416330211981,0.11750137744336775,0.47979496119831433,0.23379149404246094
11600,0.042384272333735366,0.1224802586950986,0.12489733328764227,0.4647595417701464,0.24547859391337742
11700,0.04561737023804275,0.11472705081380076,0.1342648610790507,0.4458720160796892,0.25951870178941666
11800,0.0488781631947681,0.10546606634487579,0.14523455146222852,0.4269708406280701,0.2734503783700574
11900,0.051202626205693096,0.09671700648441557,0.15445820951218087,0.41590916277667794,0.28171299502103264
12000,0.04844699948005204,0.09469204428457448,0.1495067331800273,0.4279815357088355,0.27937268734651066
12100,0.03497273579650101,0.10457564115604998,0.11654080427862744,0.4680659399943939,0.2758448787744276
12200,0.017337061341441334,0.11524586678333024,0.08092854789611935,0.5029967246147752,0.28349179936433383
12300,0.0034949390806380673,0.11940233251881496,0.05871902792709951,0.5156186440332807,0.3027650564401667
12400,0.0,0.11469990813643913,0.05807548310043338,0.5013957485149003,0.32582886024822705
12500,0.0,0.10774433655645552,0.06237546982359442,0.48649745944654227,0.3433827341734078
12600,0.0,0.09877820179757169,0.06614015518935756,0.46571547379699574,0.3693661692160751
12700,0.0,0.08669619093657861,0.07075504613264413,0.43521469744096447,0.40733406548981277
12800,0.0,0.08053212990835412,0.07229029904845533,0.43562816003279164,0.411549411010399
12900,0.0,0.08611761277481231,0.06806056310416844,0.4794012117955337,0.3664206123254856
13000,0.0,0.10112312112069277,0.05752788564515944,0.5376046877929718,0.303744305441176
13100,0.00044585371877295756,0.11459701953904393,0.04920976968102245,0.5766909143606346,0.25905644270052613
13200,0.0022687528635673823,0.1218680396752752,0.053892178051861576,0.5819841128701235,0.23998691653917237
13300,0.004675373610970989,0.12224142099434775,0.06786424666343234,0.5542190568357184,0.2509999018955306
13400,0.006719991239855476,0.1209804156820304,0.08565521739009953,0.5260895146658132,0.2605548610222014
13500,0.008271140696912588,0.1186163024709034,0.10004526920239275,0.5023970253399028,0.27067026228988844
13600,0.008624405418599514,0.12772979479291657,0.09959498389210669,0.5011109966497423,0.2629398192466349
13700,0.006718956329566938,0.16438002962131082,0.07403791573686365,0.5640179711413149,0.19084512717094376
13800,0.004998807932356191,0.1933367649210239,0.053184816650571405,0.6197814296952046,0.12869818080084386
13900,0.0038026431664370595,0.20654472309727884,0.04009842832109888,0.6478748402596167,0.10167936515556851
